"",Primary Government (PG),""
"",________________,""
"",Governmental ,Component
"",Activities ,Units
"",___________ ,_________
ASSETS:,"",""
Cash and cash equivalents . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"$ 7,958,525 ","$ 3,154,041"
"Investments, including accrued interest . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","5,373,151 ","377,458"
Receivables:,"",""
"Real estate taxes (less allowance for uncollectible amounts of $205,488) . . . . . . . . . ","325,049 ",—
"Federal, State and other aid . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","7,638,264 ",—
Taxes other than real estate . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"5,364,911 ",—
Leases . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,— ,"1,738,664"
Other . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"2,125,805 ","4,509,135"
"Mortgage loans and interest receivable, net . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",— ,"8,864,926"
Inventories . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"347,581 ","51,732"
Due from PG . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,— ,"23,414"
Due from component units . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"2,466,133 ",—
"Restricted cash, cash equivalents and investments . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","4,500,692 ","6,374,819"
Other . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"547,455 ","304,052"
Capital assets:,"",""
Land and construction work-in-progress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"6,030,378 ","9,066,668"
Other capital assets (net of depreciation/amortization):,"",""
"Property, plant and equipment (including software) . . . . . . . . . . . . . . . . . . . . . . . . ","33,356,849 ","29,302,384"
Infrastructure . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"12,274,878 ",—
"",_______________________ ,___________________
Total assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"88,309,671 ","63,767,293"
"",_______________________ ,___________________
DEFERRED OUTFLOWS OF RESOURCES . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"544,247 ","141,849"
"",_______________________ ,___________________
LIABILITIES:,"",""
Accounts payable and accrued liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"15,109,938 ","3,795,894"
Accrued interest payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"989,753 ","148,854"
Unearned revenue . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,493 ,"321,748"
Due to PG . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,— ,"2,048,293"
Due to component units . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"23,414 ",—
"Estimated disallowance of Federal, State and other aid . . . . . . . . . . . . . . . . . . . . . . . . . ","1,007,755 ",—
Other . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"4,691,039 ","205,254"
Derivative instruments—interest rate swaps . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"48,963 ","91,935"
Noncurrent liabilities:,"",""
Due within one year . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"5,291,252 ","1,922,204"
"Bonds and notes payable (net of amount due within one year—$2,985,516 for PG) . . ","79,715,297 ","42,768,095"
Net pension liability . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"46,598,085 ","2,088,387"
OPEB liability . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"89,485,122 ","7,632,605"
"Other (net of amount due within one year—$2,305,736 for PG) . . . . . . . . . . . . . . . . ","14,769,731 ","1,274,490"
"",_______________________ ,___________________
Total liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"257,730,842 ","62,297,759"
"",_______________________ ,___________________
DEFERRED INFLOWS OF RESOURCES,"",""
Deferred inflows from pensions . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"14,827,736 ","724,179"
Deferred real estate taxes . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"6,733,998 ",—
Other deferred inflows of resources . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"664,529 ",—
"",_______________________ ,___________________
Total deferred inflows of resources . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"22,226,263 ","724,179"
"",_______________________ ,___________________
NET POSITION:,"",""
Net investment in capital assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"(7,495,896) ","7,829,508"
Restricted for:,"",""
Capital projects . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"1,838,454 ","36,030"
Debt service . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"2,581,673 ","2,299,130"
Loans/security deposits . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,— ,"58,920"
Donor/statutory restrictions . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,— ,"100,526"
Operations . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,— ,"271,061"
Unrestricted (deficit) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"(188,027,418) ","(9,707,971)"
"",_______________________ ,___________________
Total net position (deficit) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"$(191,103,187) ","$ 887,204"
"",_______________________ ,___________________
"",_______________________ ,___________________
